地理学报,Acta Geographica Sinica  지리학보,Di Li Xue Bao
石油勘探与开发,Petroleum Exploration and Development  석유감탐여개발,Shi You Kan Tan Yu Kai Fa
石油学报,Acta Petrolei Sinica  석유학보,Shi You Xue Bao
地理研究,Geographical Research  지리구,Di Li Yan Jiu
地理科学进展,Progress in Geography  지리과학진전,Di Li Ke Xue Jin Zhan
中国石油勘探,China Petroleum Exploration  중국석유감탐,Zhong Guo Shi You Kan Tan
地理科学,Scientia Geographica Sinica  지리과학,Di Li Ke Xue
科研管理,Science Research Management  과관리,Ke Yan Guan Li
中国科学院院刊,Bulletin of the Chinese Academy of Sciences  중국과학원원간,Zhong Guo Ke Xue Yuan Yuan Kan
资源科学,Resources Science  ,Zi Yuan Ke Xue
岩石力学与工程学报,Chinese Journal of Rock Mechanics and Engineering  암석력학여공정학보,Yan Shi Li Xue Yu Gong Cheng Xue Bao
自然资源学报,Journal of Natural Resources  자연자원학보,Zi Ran Zi Yuan Xue Bao
地质学报,Acta Geologica Sinica  지질학보,Di Zhi Xue Bao
地质论评,Geological Review  지질론평,Di Zhi Lun Ping
遥感学报,Journal of Remote Sensing  요감학보,Yao Gan Xue Bao
生态学报,Acta Ecologica Sinica  생태학보,Sheng Tai Xue Bao
油气地质与采收率,Petroleum Geology and Recovery Efficiency  유기지질여채수솔,You Qi Di Zhi Yu Cai Shou Lu
数学教育学报,Journal of Mathematics Education  수학육학보,Shu Xue Jiao Yu Xue Bao
中国管理科学,Chinese Journal of Management Science  중국관리과학,Zhong Guo Guan Li Ke Xue
重庆高教研究,ChongQing Higher Education Research  중경문리학원학보（자연과학판）,Chong Qing Wen Li Xue Yuan Xue Bao （ Zi Ran Ke Xue Ban ）
地球科学,Editorial Committee of Earth Science-Journal of China University of Geosciences  지구과학-중국지질대학학보,Di Qiu Ke Xue - Zhong Guo Di Zhi Da Xue Xue Bao
管理科学学报,Journal of Management Sciences in China  관리과학학보,Guan Li Ke Xue Xue Bao
地学前缘,Earth Science Frontiers  지학전연,Di Xue Qian Yuan
应用生态学报,Chinese Journal of Applied Ecology  응용생태학보,Ying Yong Sheng Tai Xue Bao
科学学研究,Studies in Science of Science  과학학구,Ke Xue Xue Yan Jiu
食品科学技术学报,Journal of Food Science and Technology  북경공상대학학보（자연과학판）,Bei Jing Gong Shang Da Xue Xue Bao （ Zi Ran Ke Xue Ban ）
应用气象学报,Journal of Applied Meteorological Science  응용기상학보,Ying Yong Qi Xiang Xue Bao
科学学与科学技术管理,Science of Science and Management of S.&.T.（Monthly)  과학학여과학기술관리,Ke Xue Xue Yu Ke Xue Ji Shu Guan Li
高原气象,Plateau Meteorology  고원기상,Gao Yuan Qi Xiang
岩土力学,Rock and Soil Mechanics  암토력학,Yan Tu Li Xue
第四纪研究,Quaternary Sciences  제사기구,Di Si Ji Yan Jiu
地质与勘探,Geology and Exploration  지질여감탐,Di Zhi Yu Kan Tan
岩石学报,Acta Petrologica Sinica  암석학보,Yan Shi Xue Bao
中国光学,Chinese Journal of Optics  중국광학,Zhong Guo Guang Xue Yu Ying Yong Guang Xue Wen Zhai
气象与环境科学,Meteorological and Environmental Sciences  기상여환경과학,Qi Xiang Yu Huan Jing Ke Xue
统计研究,Statistical Research  통계구,Tong Ji Yan Jiu
气象,Meteorological Monthly  기상,Qi Xiang
植物生态学报,Chinese Journal of Plant Ecology  식물생태학보,Zhi Wu Sheng Tai Xue Bao
石油与天然气地质,Oil & Gas Geology  석유여천연기지질,Shi You Yu Tian Ran Qi Di Zhi
实验技术与管理,Experimental Technology and Management  실험기술여관리,Shi Yan Ji Shu Yu Guan Li
气象学报,Acta Meteorologica Sinica  기상학보,Qi Xiang Xue Bao
石油实验地质,Petroleum Geology and Experiment  석유실험지질,Shi You Shi Yan Di Zhi
地球学报,Acta Geoscientia Sinica  지구학보,Di Qiu Xue Bao
测绘学报,Acta Geodaetica et Cartographica Sinica  측회학보,Ce Hui Xue Bao
光学学报,Acta Optica Sinica  광학학보,Guang Xue Xue Bao
