石油勘探与开发,Petroleum Exploration and Development  석유감탐여개발,Shi You Kan Tan Yu Kai Fa
自动化学报,Acta Automatica Sinica  자동화학보,Zi Dong Hua Xue Bao
石油学报,Acta Petrolei Sinica  석유학보,Shi You Xue Bao
中国人口·资源与环境,China Population Resources and Environment  중국인구·자원여환경,Zhong Guo Ren Kou · Zi Yuan Yu Huan Jing
电力系统保护与控制,Power System Protection and Control  전력계통보호여공제,Dian Li Xi Tong Bao Hu Yu Kong Zhi
计算机学报,Chinese Journal of Computers  계산기학보,Ji Suan Ji Xue Bao
中国石油勘探,China Petroleum Exploration  중국석유감탐,Zhong Guo Shi You Kan Tan
电网技术,Power System Technology  전망기술,Dian Wang Ji Shu
电力系统自动化,Automation of Electric Power Systems  전력계통자동화,Dian Li Xi Tong Zi Dong Hua
建筑技术,Architecture Technology  건축기술,Jian Zhu Ji Shu
电工技术学报,Transactions of China Electrotechnical Society  전공기술학보,Dian Gong Ji Shu Xue Bao
天然气工业,Natural Gas Industry  천연기공업,Tian Ran Qi Gong Ye
中国电机工程学报,Proceedings of the CSEE  중국전기공정학보,Zhong Guo Dian Ji Gong Cheng Xue Bao
煤炭学报,Journal of China Coal Society  매탄학보,Mei Tan Xue Bao
遥感学报,Journal of Remote Sensing  요감학보,Yao Gan Xue Bao
高电压技术,High Voltage Engineering  고전압기술,Gao Dian Ya Ji Shu
油气地质与采收率,Petroleum Geology and Recovery Efficiency  유기지질여채수솔,You Qi Di Zhi Yu Cai Shou Lu
城市规划学刊,Urban Planning Forum  성시규획학간,Cheng Shi Gui Hua Xue Kan
信息安全学报,Journal of  Cyber Security,Xin Xi An Quan Xue Bao
软件学报,Journal of Software  연건학보,Ruan Jian Xue Bao
煤炭科学技术,Coal Science and Technology  매탄과학기술,Mei Tan Ke Xue Ji Shu
桥梁建设,Bridge Construction  교량건설,Qiao Liang Jian She
电子政务,E-Government  전자정무,Dian Zi Zheng Wu
船舶物资与市场,Marine Equipment/Materials & Marketing  선박물자여시장,Chuan Bo Wu Zi Yu Shi Chang
石油地球物理勘探,Oil Geophysical Prospecting,Shi You Di Qiu Wu Li Kan Tan
电力自动化设备,Electric Power Automation Equipment  전력자동화설비,Dian Li Zi Dong Hua She Bei
环境科学,Environmental Science  환경과학,Huan Jing Ke Xue
中国矿业大学学报,Journal of China University of Mining & Technology  중국업대학학보,Zhong Guo Kuang Ye Da Xue Xue Bao
规划师,Planners  규획사,Gui Hua Shi
仪器仪表学报,Chinese Journal of Scientific Instrument  의기의학보,Yi Qi Yi Biao Xue Bao
水科学进展,Advances in Water Science  수과학진전,Shui Ke Xue Jin Zhan
土木工程学报,China Civil Engineering Journal  토목공정학보,Tu Mu Gong Cheng Xue Bao
水利学报,Journal of Hydraulic Engineering  수리학보,Shui Li Xue Bao
地质与勘探,Geology and Exploration  지질여감탐,Di Zhi Yu Kan Tan
特种油气藏,Special Oil & Gas Reservoirs  특종유기장,Te Zhong You Qi Cang
广东电力,Guangdong Electric Power  광동전력,Guang Dong Dian Li
中国环境科学,China Environmental Science  중국환경과학,Zhong Guo Huan Jing Ke Xue
岩性油气藏,Lithologic Reservoirs  암성유기장,Yan Xing You Qi Cang
工程管理学报,Journal of Engineering Management  공정관리학보,Jian Zhu Guan Li Xian Dai Hua
家具与室内装饰,Furniture & Interior Design,Jia Ju Yu Shi Nei Zhuang Shi
林产工业,China Forest Products Industry  림공업,Lin Chan Gong Ye
计算机研究与发展,Journal of Computer Research and Development  계산기구여발전,Ji Suan Ji Yan Jiu Yu Fa Zhan
石油与天然气地质,Oil & Gas Geology  석유여천연기지질,Shi You Yu Tian Ran Qi Di Zhi
施工技术,Construction Technology  시공기술,Shi Gong Ji Shu
建筑经济,Construction Economy  건축경제,Jian Zhu Jing Ji
石油实验地质,Petroleum Geology and Experiment  석유실험지질,Shi You Shi Yan Di Zhi
电子测量与仪器学报,Journal of Electronic Measurement and Instrumentation  전자측량여의기학보,Dian Zi Ce Liang Yu Yi Qi Xue Bao
岩土工程学报,Chinese Journal of Geotechnical Engineering  암토공정학보,Yan Tu Gong Cheng Xue Bao
水资源保护,Water Resources Protection  수자원보호,Shui Zi Yuan Bao Hu
电力工程技术,Jiangsu Electrical Engineering  강소전기공정,Jiang Su Dian Ji Gong Cheng
中国公路学报,China Journal of Highway and Transport  중국공로학보,Zhong Guo Gong Lu Xue Bao
智慧电力,Smart Power  섬서전력,Shan Xi Dian Li
城市规划,City Planning Review  성시규획,Cheng Shi Gui Hua
机器人,Robot  기기인,Ji Qi Ren
生态环境学报,Ecology and Environment Sciences  생태환경학보,Sheng Tai Huan Jing
长江流域资源与环境,Resources and Environment in the Yangtze Basin  장강류역자원여환경,Chang Jiang Liu Yu Zi Yuan Yu Huan Jing
食品科学,Food Science  식품과학,Shi Pin Ke Xue
农业环境科学学报,Journal of Agro-Environment Science  농업환경과학학보,Nong Ye Huan Jing Ke Xue Xue Bao
中国环境监测,Environmental Monitoring in China  중국환경감측,Zhong Guo Huan Jing Jian Ce
环境科学学报,Acta Scientiae Circumstantiae  환경과학학보,Huan Jing Ke Xue Xue Bao
隧道建设（中英文）,Tunnel Construction  수도건설,Sui Dao Jian She
工程地球物理学报,Chinese Journal of Engineering Geophysics  공정지구물리학보,Gong Cheng Di Qiu Wu Li Xue Bao
城市发展研究,Urban Development Studies  성시발전구,Cheng Shi Fa Zhan Yan Jiu
中国医学装备,China Medical Equipment  중국의학장비,Zhong Guo Yi Xue Zhuang Bei
中国工程科学,Strategic Study of CAE  중국공정과학,Zhong Guo Gong Cheng Ke Xue
干旱区资源与环境,Journal of Arid Land Resources and Environment  건한구자원여환경,Gan Han Qu Zi Yuan Yu Huan Jing
光学精密工程,Optics and Precision Engineering  광학정밀공정,Guang Xue Jing Mi Gong Cheng
中国激光,Chinese Journal of Lasers  중국격광,Zhong Guo Ji Guang
环境科学研究,Research of Environmental Sciences  환경과학구,Huan Jing Ke Xue Yan Jiu
天然气地球科学,Natural Gas Geoscience  천연기지구과학,Tian Ran Qi Di Qiu Ke Xue
采矿与安全工程学报,Journal of Mining and Safety Engineering  채여안전공정학보,Cai Kuang Yu An Quan Gong Cheng Xue Bao
国际城市规划,Urban Planning International  국제성시규획,Guo Ji Cheng Shi Gui Hua
建筑与预算,Construction and Budget,Jian Zhu Yu Yu Suan
电力系统及其自动化学报,Proceedings of the CSU-EPSA  전력계통급기자동화학보,Dian Li Xi Tong Ji Qi Zi Dong Hua Xue Bao
东北石油大学学报,Journal of Northeast Petroleum University  대경석유학원학보,Da Qing Shi You Xue Yuan Xue Bao
南方电网技术,Southern Power System Technology  남방전망기술,Nan Fang Dian Wang Ji Shu
铁道运输与经济,Railway Transport and Economy  철도운수여경제,Tie Dao Yun Shu Yu Jing Ji
控制与决策,Control and Decision  공제여결책,Kong Zhi Yu Jue Ce
应用声学,Applied Acoustics  응용성학,Ying Yong Sheng Xue
钢铁,Iron & Steel  강철,Gang Tie
中国医疗设备,China Medical Devices  중국의료설비,Zhong Guo Yi Liao She Bei
华北水利水电大学学报（自然科学版）,Journal of North China University of Water Resources and Electric Power  화북수리수전학원학보,Hua Bei Shui Li Shui Dian Xue Yuan Xue Bao
实验室研究与探索,Research and Exploration in Laboratory  실험실구여탐색,Shi Yan Shi Yan Jiu Yu Tan Suo
石油钻探技术,PETROLEUM DRILLING TECHNIQUES  석유찬탐기술,Shi You Zuan Tan Ji Shu
环境保护,Environmental Protection  환경보호,Huan Jing Bao Hu
土木建筑工程信息技术,Journal of Information Technology in Civil Engineering and Architecture  토목건축공정신식기술,Tu Mu Jian Zhu Gong Cheng Xin Xi Ji Shu
现代仪器与医疗,Modern Instruments & Mediccal Treatment  현대의기,Xian Dai Yi Qi
电力建设,Electric Power Construction  전력건설,Dian Li Jian She
爆破,Blasting  폭파,Bao Po
工程力学,Engineering Mechanics  공정력학,Gong Cheng Li Xue
中国电力,Electric Power  중국전력,Zhong Guo Dian Li
石油物探,Geophysical Prospecting for Petroleum  석유물탐,Shi You Wu Tan
电网与清洁能源,Advances of Power System & Hydroelectric Engineering  전망여결능원,Dian Wang Yu Qing Jie Neng Yuan
机械工程学报,Journal of Mechanical Engineering  기계공정학보,Ji Xie Gong Cheng Xue Bao
土木工程与管理学报,Journal of Civil Engineering and Management  토목공정여관리학보,Hua Zhong Ke Ji Da Xue Xue Bao （ Cheng Shi Ke Xue Ban ）
西安交通大学学报,Journal of Xi'an Jiaotong University  서안교통대학학보,Xi An Jiao Tong Da Xue Xue Bao
通信学报,Journal on Communications  통신학보,Tong Xin Xue Bao
电信科学,Telecommunications Science  전신과학,Dian Xin Ke Xue
计算机集成制造系统,Computer Integrated Manufacturing Systems  계산기집성제조계통,Ji Suan Ji Ji Cheng Zhi Zao Xi Tong
都市快轨交通,Urban Rapid Rail Transit  도시쾌궤교통,Du Shi Kuai Gui Jiao Tong
中国园林,Chinese Landscape Architecture  중국원림,Zhong Guo Yuan Lin
交通建设与管理,Transportation Construction & Management,Shui Lu Yun Shu Wen Zhai
中国安全科学学报,China Safety Science Journal  중국안전과학학보,Zhong Guo An Quan Ke Xue Xue Bao
茶叶科学,Journal of Tea Science  다엽과학,Cha Ye Ke Xue
计算机应用,Journal of Computer Applications  계산기응용,Ji Suan Ji Ying Yong
地下空间与工程学报,Chinese Journal of Underground Space and Engineering  지하공간여공정학보,Di Xia Kong Jian Yu Gong Cheng Xue Bao
大庆石油地质与开发,Petroleum Geology & Oilfield Development in Daqing  대경석유지질여개발,Da Qing Shi You Di Zhi Yu Kai Fa
电力信息与通信技术,Electric Power Information and Communication Technology  전력신식화,Dian Li Xin Xi Hua
现代隧道技术,Modern Tunnelling Technology  현대수도기술,Xian Dai Sui Dao Ji Shu
环境监测管理与技术,The Administration and Technique of Environmental Monitoring  환경감측관리여기술,Huan Jing Jian Ce Guan Li Yu Ji Shu
中国冶金,China Metallurgy  중국야김,Zhong Guo Ye Jin
城市交通,Urban Transport of China  성시교통,Cheng Shi Jiao Tong
石油钻采工艺,Oil Drilling & Production Technology  석유찬채공예,Shi You Zuan Cai Gong Yi
化工进展,Chemical Industry and Engineering Progress  화공진전,Hua Gong Jin Zhan
中国图象图形学报,Journal of Image and Graphics  중국도상도형학보,Zhong Guo Tu Xiang Tu Xing Xue Bao A
供用电,Distribution & Utilization  공용전,Gong Yong Dian
计算机科学,Computer Science  계산기과학,Ji Suan Ji Ke Xue
信息网络安全,Netinfo Security  신식망락안전,Xin Xi Wang Luo An Quan
生态与农村环境学报,Journal of Ecology and Rural Environment  생태여농촌환경학보,Sheng Tai Yu Nong Cun Huan Jing Xue Bao
国际煤炭科学技术学报（英文）,International Journal of Coal Science & Technology
建筑结构学报,Journal of Building Structures  건축결구학보,Jian Zhu Jie Gou Xue Bao
热力发电,Thermal Power Generation  열력발전,Re Li Fa Dian
电工电能新技术,Advanced Technology of Electrical Engineering and Energy  전공전능신기술,Dian Gong Dian Neng Xin Ji Shu
环境化学,Environmental Chemistry  환경화학,Huan Jing Hua Xue
浙江电力,Zhejiang Electric Power  절강전력,Zhe Jiang Dian Li
