经济研究,Economic Research Journal,Jing Ji Yan Jiu
中国工业经济,China Industrial Economics  중국공업경제,Zhong Guo Gong Ye Jing Ji
金融研究,Journal of Financial Research,Jin Rong Yan Jiu
中国农村经济,Chinese Rural Economy,Zhong Guo Nong Cun Jing Ji
管理世界,Management World,Guan Li Shi Jie
公共管理学报,Journal of Public Management  공공관리학보,Gong Gong Guan Li Xue Bao
会计研究,Accounting Research  회계구,Hui Ji Yan Jiu
世界经济,The Journal of World Economy  세계경제,Shi Jie Jing Ji
经济学（季刊）,China Economic Quarterly,Jing Ji Xue （ Ji Kan ）
南开管理评论,Nankai Business Review  남개관리평론,Nan Kai Guan Li Ping Lun
农业经济问题,Issues in Agricultural Economy  농업경제문제,Nong Ye Jing Ji Wen Ti
中国农村观察,China Rural Survey,Zhong Guo Nong Cun Guan Cha
管理学刊,Journal of Management  관리학간,Xin Xiang Jiao Yu Xue Yuan Xue Bao
审计研究,Auditing Research,Shen Ji Yan Jiu
中国软科学,China Soft Science  중국연과학,Zhong Guo Ruan Ke Xue
中国流通经济,China Business and Market  중국류통경제,Zhong Guo Liu Tong Jing Ji
经济学家,Economist  경제학가,Jing Ji Xue Jia
数量经济技术经济研究,The Journal of Quantitative & Technical Economics  수량경제기술경제구,Shu Liang Jing Ji Ji Shu Jing Ji Yan Jiu
旅游学刊,Tourism Tribune  려유학간,Lu You Xue Kan
经济地理,Economic Geography  경제지리,Jing Ji Di Li
广东财经大学学报,Journal of Guangdong University of Finance & Economics  광동상학원학보,Guang Dong Shang Xue Yuan Xue Bao
中国土地科学,China Land Science  중국토지과학,Zhong Guo Tu Di Ke Xue
管理科学,Journal of Management Science  관리과학,Guan Li Ke Xue
国际金融研究,Studies of International Finance,Guo Ji Jin Rong Yan Jiu
财贸经济,Finance & Trade Economics,Cai Mao Jing Ji
审计与经济研究,Audit & Economy Research  심계여경제구,Shen Ji Yu Jing Ji Yan Jiu
世界经济与政治,World Economics and Politics,Shi Jie Jing Ji Yu Zheng Zhi
产业经济研究,Industrial Economics Research  업경제구,Chan Ye Jing Ji Yan Jiu
改革,Reform,Gai Ge
经济管理,Economic Management Journal,Jing Ji Guan Li
财经研究,Journal of Finance and Economics  재경구,Cai Jing Yan Jiu
金融监管研究,Financial Regulation Research,Jin Rong Jian Guan Yan Jiu
管理评论,Management Review,Guan Li Ping Lun
财政研究,Public Finance Research,Cai Zheng Yan Jiu
国际贸易问题,Journal of International Trade  국제무역문제,Guo Ji Mao Yi Wen Ti
农业技术经济,Journal of Agrotechnical Economics  농업기술경제,Nong Ye Ji Shu Jing Ji
中国管理科学,Chinese Journal of Management Science  중국관리과학,Zhong Guo Guan Li Ke Xue
南开经济研究,Nankai Economic Studies  남개경제구,Nan Kai Jing Ji Yan Jiu
山西财经大学学报,Journal of Shanxi Finance and Economics University  산서재경대학학보,Shan Xi Cai Jing Da Xue Xue Bao
经济评论,Economic Review,Jing Ji Ping Lun
管理科学学报,Journal of Management Sciences in China  관리과학학보,Guan Li Ke Xue Xue Bao
农村经济,Rural Economy  농촌경제,Nong Cun Jing Ji
船舶物资与市场,Marine Equipment/Materials & Marketing  선박물자여시장,Chuan Bo Wu Zi Yu Shi Chang
金融论坛,Finance Forum  김융론단,Jin Rong Lun Tan
经济纵横,Economic Review  경제종횡,Jing Ji Zong Heng
研究与发展管理,R & D Management  구여발전관리,Yan Jiu Yu Fa Zhan Guan Li
现代经济探讨,Modern Economic Research  현대경제탐토,Xian Dai Jing Ji Tan Tao
中国农业资源与区划,Chinese Journal of Agricultural Resources and Regional Planning  중국농업자원여구획,Zhong Guo Nong Ye Zi Yuan Yu Qu Hua
经济科学,Economic Science,Jing Ji Ke Xue
外国经济与管理,Foreign Economies & Management  외국경제여관리,Wai Guo Jing Ji Yu Guan Li
经济学动态,Economic Perspectives,Jing Ji Xue Dong Tai
管理学报,Chinese Journal of Management  관리학보,Guan Li Xue Bao
新经济导刊,New Economy Weekly  신경제도간,Xin Jing Ji Dao Kan
宏观经济管理,Macroeconomic Management  굉관경제관리,Hong Guan Jing Ji Guan Li
统计研究,Statistical Research  통계구,Tong Ji Yan Jiu
工程管理学报,Journal of Engineering Management  공정관리학보,Jian Zhu Guan Li Xian Dai Hua
经济问题,On Economic Problems  경제문제,Jing Ji Wen Ti
世界经济研究,World Economy Study  세계경제구,Shi Jie Jing Ji Yan Jiu
财经科学,Finance & Economics  재경과학,Cai Jing Ke Xue
建筑经济,Construction Economy  건축경제,Jian Zhu Jing Ji
南方金融,South China finance  남방김융,Nan Fang Jin Rong
经济,Economy  경제,Jing Ji
当代财经,Contemporary Finance & Economics  당대재경,Dang Dai Cai Jing
经济社会体制比较,Comparative Economic and Social Systems  경제사회체제비교,Jing Ji She Hui Ti Zhi Bi Jiao
金融经济学研究,Journal of Finance and Economics  광동김융학원학보,Guang Dong Jin Rong Xue Yuan Xue Bao
贵州财经大学学报,Journal of Guizhou University of Finance and Economics  귀주재경학원학보,Gui Zhou Cai Jing Xue Yuan Xue Bao
经济理论与经济管理,Economic Theory and Business Management  경제리론여경제관리,Jing Ji Li Lun Yu Jing Ji Guan Li
