远程教育杂志,Journal of Distance Education  원정육잡지,Yuan Cheng Jiao Yu Za Zhi
高等工程教育研究,Research in Higher Education of Engineering  고등공정육구,Gao Deng Gong Cheng Jiao Yu Yan Jiu
中国电化教育,China Educational Technology  중국전화육,Zhong Guo Dian Hua Jiao Yu
中国图书馆学报,Journal of Library Science in China  중국도서관학보,Zhong Guo Tu Shu Guan Xue Bao
外语界,Foreign Language World,Wai Yu Jie
华东师范大学学报（教育科学版）,Journal of East China Normal University(Education Sciences）  화동사범대학학보（육과학판）,Hua Dong Shi Fan Da Xue Xue Bao （ Jiao Yu Ke Xue Ban ）
教育研究,Educational Research,Jiao Yu Yan Jiu
开放教育研究,Education Research  개방육구,Kai Fang Jiao Yu Yan Jiu
现代远程教育研究,Modern Distance Education Research  현대원정육구,Xian Dai Yuan Cheng Jiao Yu Yan Jiu
中国高教研究,China Higher Education Research  중국고구,Zhong Guo Gao Jiao Yan Jiu
电化教育研究,E-education Research,Dian Hua Jiao Yu Yan Jiu
课程·教材·教法,Curriculum，Teaching Material and Method,Ke Cheng · Jiao Cai · Jiao Fa
发明与创新·大科技,Invention & Innovation  발명여창신（종합과기）,Fa Ming Yu Chuang Xin （ Zong He Ban ）
现代教育技术,Modern Educational Technology  현대육기술,Xian Dai Jiao Yu Ji Shu
体育科学,China Sport Science  체육과학,Ti Yu Ke Xue
收获,Harvest Literary Journal of Shanghai,Shou Huo
全球教育展望,Global Education,Quan Qiu Jiao Yu Zhan Wang
教育科学,Education Science  육과학,Jiao Yu Ke Xue
大学图书馆学报,Journal of Academic Libraries  대학도서관학보,Da Xue Tu Shu Guan Xue Bao
中国软科学,China Soft Science  중국연과학,Zhong Guo Ruan Ke Xue
中国大学教学,China University Teaching  중국대학학,Zhong Guo Da Xue Jiao Xue
清华大学教育研究,Tsinghua Journal of Education  화대학육구,Qing Hua Da Xue Jiao Yu Yan Jiu
现代外语,Modern Foreign Languages  현대외어,Xian Dai Wai Yu
冰雪运动,China Winter Sports  설운동,Bing Xue Yun Dong
科研管理,Science Research Management  과관리,Ke Yan Guan Li
图书与情报,Library and Information  도서여정보,Tu Shu Yu Qing Bao
高校教育管理,Journal of Higher Education Management  고교육관리,Gao Xiao Jiao Yu Guan Li
图书情报知识,"Document,Informaiton & Knowledge  도서정보지식",Tu Shu Qing Bao Zhi Shi
外语电化教学,Computer-Assisted Foreign Language Education in China  외어전화학,Wai Yu Dian Hua Jiao Xue
鸭绿江,YaLuJiang Literary Monthly  압록강,Ya Lu Jiang
思想理论教育,Ideological & Theoretical Education  사상리론육（상반월종합판）,Si Xiang Li Lun Jiao Yu （ Shang Ban Yue Zong He Ban ）
中国远程教育（综合版）,Distance Education in China  중국원정육（종합판）,Zhong Guo Yuan Cheng Jiao Yu （ Zong He Ban ）
中国科技期刊研究,Chinese Journal of Scientific and Technical Periodicals  중국과기기간구,Zhong Guo Ke Ji Qi Kan Yan Jiu
高等教育研究,Journal of Higher Education,Gao Deng Jiao Yu Yan Jiu
图书情报工作,Library and Information Service  도서정보공작,Tu Shu Qing Bao Gong Zuo
现代远距离教育,Modern Distance Education  현대원거리육,Xian Dai Yuan Ju Li Jiao Yu
北京大学教育评论,Peking University Education Review  북경대학육평론,Bei Jing Da Xue Jiao Yu Ping Lun
新闻与传播研究,Journalism & Communication,Xin Wen Yu Chuan Bo Yan Jiu
体育学研究,Journal of Nanjing Institute of Physical Education (Social Sciences)  남경체육학원학보（사회과학판）,Nan Jing Ti Yu Xue Yuan Xue Bao （ She Hui Ke Xue Ban ）
中国外语,Foreign Languages in China,Zhong Guo Wai Yu
图书馆工作与研究,Library Work and Study  도서관공작여구,Tu Shu Guan Gong Zuo Yu Yan Jiu
中国职业技术教育,Chinese Vocational and Technical Education  중국직업기술육,Zhong Guo Zhi Ye Ji Shu Jiao Yu
中国人民大学学报,Journal of the Renmin University of China,Zhong Guo Ren Min Da Xue Xue Bao
科学学研究,Studies in Science of Science  과학학구,Ke Xue Xue Yan Jiu
国际新闻界,Journal of International Communication,Guo Ji Xin Wen Jie
复旦教育论坛,Fudan Education Forum  복단육론단,Fu Dan Jiao Yu Lun Tan
外语与外语教学,Foreign Languages and Their Teaching  외어여외어학,Wai Yu Yu Wai Yu Jiao Xue
中国高等教育,China Higher Education,Zhong Guo Gao Deng Jiao Yu
编辑学报,Acta Editologica  편집학보,Bian Ji Xue Bao
科学学与科学技术管理,Science of Science and Management of S.&.T.（Monthly)  과학학여과학기술관리,Ke Xue Xue Yu Ke Xue Ji Shu Guan Li
武汉体育学院学报,Journal of Wuhan Institute of Physical Education  무한체육학원학보,Wu Han Ti Yu Xue Yuan Xue Bao
北京体育大学学报,Journal of Beijing Sport University  북경체육대학학보,Bei Jing Ti Yu Da Xue Xue Bao
江苏高教,Jiangsu Higher Education  강소고,Jiang Su Gao Jiao
情报理论与实践,Information Studies:Theory & Application  정보리론여실천,Qing Bao Li Lun Yu Shi Jian
新闻记者,Shanghai Journalism Review  신문기자,Xin Wen Ji Zhe
语言战略研究,Chinese Journal of Language Policy and Planning,Yu Yan Zhan Lue Yan Jiu
上海体育学院学报,Journal of Shanghai University of Sport  상해체육학원학보,Shang Hai Ti Yu Xue Yuan Xue Bao
学前教育研究,Studies In Early Childhood Education  학전육구,Xue Qian Jiao Yu Yan Jiu
体育学刊,Journal of Physical Education  체육학간,Ti Yu Xue Kan
图书馆论坛,Library Tribune  도서관론단,Tu Shu Guan Lun Tan
情报科学,Information Science  정보과학,Qing Bao Ke Xue
外语教学与研究,Foreign Language Teaching and Research  외어학여구,Wai Yu Jiao Xue Yu Yan Jiu
职教论坛,Vocational & Technical Education Forum  직론단,Zhi Jiao Lun Tan
档案学研究,Archives Science Study  안학구,Dang An Xue Yan Jiu
图书馆建设,Library Development  도서관건설,Tu Shu Guan Jian She
情报资料工作,Information and Documentation Services  정보자료공작,Qing Bao Zi Liao Gong Zuo
实验技术与管理,Experimental Technology and Management  실험기술여관리,Shi Yan Ji Shu Yu Guan Li
高教探索,Higher Education Exploration  고탐색,Gao Jiao Tan Suo
情报杂志,Journal  of  Intelligence  정보잡지,Qing Bao Za Zhi
图书馆,Library  도서관,Tu Shu Guan
思想理论教育导刊,Leading Journal of Ideological & Theoretical Education  사상리론육도간,Si Xiang Li Lun Jiao Yu Dao Kan
心理发展与教育,Psychological Development and Education  심리발전여육,Xin Li Fa Zhan Yu Jiao Yu
国家图书馆学刊,Journal of the National Library of China  국가도서관학간,Guo Jia Tu Shu Guan Xue Kan
教师教育研究,Teacher Education Research  사육구,Jiao Shi Jiao Yu Yan Jiu
研究生教育研究,Journal of Graduate Education  구생육구,Jiao Yu Yu Xian Dai Hua
天津师范大学学报（基础教育版）,Journal of Tianjin Normal University(Elementary Education Edition)  천진사범대학학보（기초육판）,Tian Jin Shi Fan Da Xue Xue Bao （ Ji Chu Jiao Yu Ban ）
教育探索,Education Exploration  육탐색,Jiao Yu Tan Suo
教育学报,Journal of Educational Studies  육학보,Jiao Yu Xue Bao
外语教学,Foreign Language Education  외어학,Wai Yu Jiao Xue
现代情报,Modern Information  현대정보,Xian Dai Qing Bao
中国医学教育技术,China Medical Education Technology  중국의학육기술,Zhong Guo Yi Xue Jiao Yu Ji Shu
新闻大学,Journalistic University  신문대학,Xin Wen Da Xue
图书馆学研究,Researches in Library Science  도서관학구,Tu Shu Guan Xue Yan Jiu
上海翻译,Shanghai Journal of Translators  상해역,Shang Hai Fan Yi
体育与科学,Sports & Science  체육여과학,Ti Yu Yu Ke Xue
职业技术教育,Vocational and Technical Education  ,Zhi Ye Ji Shu Jiao Yu
中国体育科技,China Sport Science and Technology  중국체육과기,Zhong Guo Ti Yu Ke Ji
