植物营养与肥料学报,Plant Nutrition and Fertilizer Science  식물영양여비료학보,Zhi Wu Ying Yang Yu Fei Liao Xue Bao
土壤学报,Acta Pedologica Sinica  토양학보,Tu Rang Xue Bao
农业工程学报,Transactions of the Chinese Society of Agricultural Engineering  농업공정학보,Nong Ye Gong Cheng Xue Bao
中国农业科学,Scientia Agricultura Sinica  중국농업과학,Zhong Guo Nong Ye Ke Xue
中国农业资源与区划,Chinese Journal of Agricultural Resources and Regional Planning  중국농업자원여구획,Zhong Guo Nong Ye Zi Yuan Yu Qu Hua
农业机械学报,Transactions of the Chinese Society for Agricultural Machinery  농업기계학보,Nong Ye Ji Xie Xue Bao
中国生态农业学报（中英文）,Chinese Journal of Eco-Agriculture  중국생태농업학보,Zhong Guo Sheng Tai Nong Ye Xue Bao
水土保持应用技术,Technology of Soil and Water Conservation  수토보지응용기술,Shui Tu Bao Chi Ying Yong Ji Shu
林产工业,China Forest Products Industry  림공업,Lin Chan Gong Ye
农业现代化研究,Research of Agricultural Modernization  농업현대화구,Nong Ye Xian Dai Hua Yan Jiu
草业科学,Pratacultural Science  초업과학,Cao Ye Ke Xue
干旱区研究,Arid Zone Research  건한구구,Gan Han Qu Yan Jiu
农业环境科学学报,Journal of Agro-Environment Science  농업환경과학학보,Nong Ye Huan Jing Ke Xue Xue Bao
核农学报,Journal of Nuclear Agricultural Sciences  핵농학보,He Nong Xue Bao
草业学报,Acta Prataculturae Sinica  초업학보,Cao Ye Xue Bao
中南林业科技大学学报,Journal of Central South University of Forestry & Technology  중남림업과기대학학보,Zhong Nan Lin Ye Ke Ji Da Xue Xue Bao
土壤,Soils  토양,Tu Rang
中国农业气象,Chinese Journal of Agrometeorology  중국농업기상,Zhong Guo Nong Ye Qi Xiang
作物学报,Acta Agronomica Sinica  작물학보,Zuo Wu Xue Bao
森林工程,Forest Engineering  삼림공정,Sen Lin Gong Cheng
农产品质量与安全,Quality And Safety Of Agro-Products  농품질량여안전,Nong Ye Zhi Liang Biao Zhun
水土保持学报,Journal of Soil and Water Conservation  수토보지학보,Shui Tu Bao Chi Xue Bao
植物遗传资源学报,Journal of Plant Genetic Resources  식물유전자원학보,Zhi Wu Yi Chuan Zi Yuan Xue Bao
林业工程学报,Journal of Forestry Engineering  림업과기개발,Lin Ye Ke Ji Kai Fa
生态学杂志,Chinese Journal of Ecology  생태학잡지,Sheng Tai Xue Za Zhi
棉花学报,Cotton Science  면화학보,Mian Hua Xue Bao
农业经济与管理,Agricultural Economics and Management  농업경제여관리,Yu Ye Jing Ji Yan Jiu
水土保持研究,Research of Soil and Water Conservation  수토보지구,Shui Tu Bao Chi Yan Jiu
茶叶科学,Journal of Tea Science  다엽과학,Cha Ye Ke Xue
经济林研究,Nonwood Forest Research  경제림구,Jing Ji Lin Yan Jiu
动物营养学报,Chinese Journal Of Animal Nutrition  동물영양학보,Dong Wu Ying Yang Xue Bao
园艺学报,Acta Horticulturae Sinica  원예학보,Yuan Yi Xue Bao
杂草学报,Weed Science  잡초과학,Za Cao Ke Xue
果树学报,Journal of Fruit Science  과수학보,Guo Shu Xue Bao
林业经济问题,Problems of Forestry Economics  림업경제문제,Lin Ye Jing Ji Wen Ti
中国水土保持科学,Science of Soil and Water Conservation  중국수토보지과학,Zhong Guo Shui Tu Bao Chi Ke Xue
北京林业大学学报,Journal of Beijing Forestry University  북경림업대학학보,Bei Jing Lin Ye Da Xue Xue Bao
风景园林,Landscape Architecture  풍경원림,Feng Jing Yuan Lin
南方水产科学,South China Fisheries Science  남방수과학,Nan Fang Shui Chan
中国水稻科学,Chinese Journal of Rice Science  중국수도과학,Zhong Guo Shui Dao Ke Xue
江苏农业学报,Jiangsu Journal of Agricultural Sciences  강소농업학보,Jiang Su Nong Ye Xue Bao
作物杂志,Crops  작물잡지,Zuo Wu Za Zhi
中国草地学报,Chinese Journal of Grassland  중국초지학보,Zhong Guo Cao Di Xue Bao
林业科学,Scientia Silvae Sinicae  림업과학,Lin Ye Ke Xue
中国土壤与肥料,Soils and Fertilizers Sciences in China  중국토양여비료,Zhong Guo Tu Rang Yu Fei Liao
农业科技管理,Management of Agriculture Science and Technology  농업과기관리,Nong Ye Ke Ji Guan Li
中国农业科技导报,Journal of Agricultural Science and Technology  중국농업과기도보,Zhong Guo Nong Ye Ke Ji Dao Bao
中国农业大学学报,Journal of China Agricultural University  중국농업대학학보,Zhong Guo Nong Ye Da Xue Xue Bao
土壤与作物,Soil and Crop,Tu Rang Yu Zuo Wu
农药学学报,Chinese Journal of Pesticide Science  농약학학보,Nong Yao Xue Xue Bao
中国烟草科学,Chinese Tobacco Science  중국연초과학,Zhong Guo Yan Cao Ke Xue
玉米科学,Journal of Maize Sciences  옥미과학,Yu Mi Ke Xue
中国烟草学报,Acta Tabacaria Sinica  중국연초학보,Zhong Guo Yan Cao Xue Bao
农业资源与环境学报,Journal of Agricultural Resources and Environment  농업환경여발전,Nong Ye Huan Jing Yu Fa Zhan
南方农业学报,Journal of Southern Agriculture  남방농업학보,Guang Xi Nong Ye Ke Xue
西北林学院学报,Journal of Northwest Forestry University  서북림학원학보,Xi Bei Lin Xue Yuan Xue Bao
南京农业大学学报,Journal of Nanjing Agricultural University  남경농업대학학보,Nan Jing Nong Ye Da Xue Xue Bao
灌溉排水学报,Journal of Irrigation and Drainage  관배수학보,Guan Gai Pai Shui Xue Bao
中国油料作物学报,Chinese Journal of Oil Crop Sciences  중국유료작물학보,Zhong Guo You Liao Zuo Wu Xue Bao
草地学报,Acta Agrestia Sinica  초지학보,Cao Di Xue Bao
南方农机,South Agricultural Machinery  남방농기,Nan Fang Nong Ji
保鲜与加工,Storage and Process  보선여가공,Bao Xian Yu Jia Gong
南京林业大学学报（自然科学版）,Journal of Nanjing Forestry University(Natural Science Edition)  남경림업대학학보（자연과학판）,Nan Jing Lin Ye Da Xue Xue Bao （ Zi Ran Ke Xue Ban ）
植物保护学报,Acta Phytophylacica Sinica  식물보호학보,Zhi Wu Bao Hu Xue Bao
河北农业大学学报（农林教育版）,Journal of Agricultural University of Hebei(Agriculture and Forestry Education)  하북농업대학학보（농림육판）,He Bei Nong Ye Da Xue Xue Bao （ Nong Lin Jiao Yu Ban ）
高等农业教育,Higher Agricultural Education  고등농업육,Gao Deng Nong Ye Jiao Yu
植物保护,Plant Protection  식물보호,Zhi Wu Bao Hu
吉林农业大学学报,Journal of Jilin Agricultural University  길림농업대학학보,Ji Lin Nong Ye Da Xue Xue Bao
华中农业大学学报,Journal of Huazhong Agricultural University  화중농업대학학보,Hua Zhong Nong Ye Da Xue Xue Bao
排灌机械工程学报,Journal of Drainage and Irrigation Machinery Engineering  배관기계공정학보,Pai Guan Ji Xie
中国生物防治学报,Chinese Journal of Biological Control  중국생물방치학보,Zhong Guo Sheng Wu Fang Zhi
华北农学报,Acta Agriculturae Boreali-Sinica  화북농학보,Hua Bei Nong Xue Bao
中国城市林业,Journal of Chinese Urban Forestry  중국성시림업,Zhong Guo Cheng Shi Lin Ye
森林与环境学报,Journal of Forest and Environment  복건림학원학보,Fu Jian Lin Xue Yuan Xue Bao
土壤通报,Chinese Journal of Soil Science  토양통보,Tu Rang Tong Bao
中国林业教育,Forestry Education in China  중국림업육,Zhong Guo Lin Ye Jiao Yu
大连海洋大学学报,Journal of Dalian Fisheries University  대련해양대학학보,Da Lian Shui Chan Xue Yuan Xue Bao
水产学报,Journal of Fisheries of China  수학보,Shui Chan Xue Bao
林业科学研究,Forest Research  림업과학구,Lin Ye Ke Xue Yan Jiu
麦类作物学报,Journal of Triticeae Crops  맥류작물학보,Mai Lei Zuo Wu Xue Bao
世界林业研究,World Forestry Research  세계림업구,Shi Jie Lin Ye Yan Jiu
菌物研究,Journal of Fungal Research  균물구,Jun Wu Yan Jiu
华南农业大学学报,Journal of South China Agricultural University  화남농업대학학보,Hua Nan Nong Ye Da Xue Xue Bao
浙江农林大学学报,Journal of Zhejiang A&F University  절강농림대학학보,Zhe Jiang Lin Xue Yuan Xue Bao
世界农业,World Agriculture  세계농업,Shi Jie Nong Ye
河南农业科学,Journal of Henan Agricultural Sciences  하남농업과학,He Nan Nong Ye Ke Xue
西北农林科技大学学报（自然科学版）,Journal of Northwest A&F University(Natural Science Edition)  서북농림과기대학학보（자연과학판）,Xi Bei Nong Lin Ke Ji Da Xue Xue Bao （ Zi Ran Ke Xue Ban ）
中国兽医学报,Chinese Journal of Veterinary Science  중국수의학보,Zhong Guo Shou Yi Xue Bao
中国马铃薯,Chinese Potato Journal  중국마령서,Zhong Guo Ma Ling Shu
水生生物学报,Acta Hydrobiologica Sinica  수생생물학보,Shui Sheng Sheng Wu Xue Bao
昆虫学报,Acta Entomologica Sinica  곤충학보,Kun Chong Xue Bao
农业展望,Agricultural Outlook  농업전망,Nong Ye Zhan Wang
农机化研究,Journal of Agricultural Mechanization Research  농기화구,Nong Ji Hua Yan Jiu
东北林业大学学报,Journal of Northeast Forestry University  동북림업대학학보,Dong Bei Lin Ye Da Xue Xue Bao
中国水产科学,Journal of Fishery Sciences of China  중국수과학,Zhong Guo Shui Chan Ke Xue
水土保持通报,Bulletin of Soil and Water Conservation  수토보지통보,Shui Tu Bao Chi Tong Bao
植物病理学报,Acta Phytopathologica Sinica  식물병리학보,Zhi Wu Bing Li Xue Bao
花生学报,Journal of Peanut Science  화생학보,Hua Sheng Xue Bao
林业资源管理,Forest Resources Management  림업자원관리,Lin Ye Zi Yuan Guan Li
江西农业大学学报,Acta Agriculturae Universitatis Jiangxiensis(Natural Sciences Edition)  강서농업대학학보,Jiang Xi Nong Ye Da Xue Xue Bao
畜牧兽医学报,Acta Veterinaria Et Zootechnica Sinica  축목수의학보,Xu Mu Shou Yi Xue Bao
中国畜牧兽医,China Animal Husbandry & Veterinary Medicine  중국축목수의,Zhong Guo Xu Mu Shou Yi
干旱地区农业研究,Agricultural Research In The Arid Areas  건한지구농업구,Gan Han Di Qu Nong Ye Yan Jiu
海洋渔业,Marine Fisheries  해양어업,Hai Yang Yu Ye
渔业科学进展,Progress In Fishery Sciences  어업과학진전,Hai Yang Shui Chan Yan Jiu
渔业现代化,Fishery Modernization  어업현대화,Yu Ye Xian Dai Hua
林业与环境科学,Guangdong Forestry Science and Technology  광동림업과기,Guang Dong Lin Ye Ke Ji
中国农学通报,Chinese Agricultural Science Bulletin  중국농학통보,Zhong Guo Nong Xue Tong Bao
山西农业大学学报（自然科学版）,Journal of Shanxi Agricultural University(Natural Science Edition)  산서농업대학학보（자연과학판）,Shan Xi Nong Ye Da Xue Xue Bao （ Zi Ran Ke Xue Ban ）
中国糖料,Sugar Crops of China  중국당료,Zhong Guo Tang Liao
热带作物学报,Chinese Journal of Tropical Crops  열대작물학보,Re Dai Zuo Wu Xue Bao
上海海洋大学学报,Journal of Shanghai Ocean University  상해해양대학학보,Shang Hai Shui Chan Da Xue Xue Bao
经济动物学报,Journal of Economic Animal  경제동물학보,Jing Ji Dong Wu Xue Bao
茶叶学报,Tea Science and Technology  다엽과학기술,Cha Ye Ke Xue Ji Shu
东北农业大学学报,Journal of Northeast Agricultural University  동북농업대학학보,Dong Bei Nong Ye Da Xue Xue Bao
植物资源与环境学报,Journal of Plant Resources and Environment  식물자원여환경학보,Zhi Wu Zi Yuan Yu Huan Jing Xue Bao
中国植保导刊,China Plant Protection  중국식보도간,Zhong Guo Zhi Bao Dao Kan
中国农业教育,China Agricultural Education  중국농업육,Zhong Guo Nong Ye Jiao Yu
山西农业科学,Journal of Shanxi Agricultural Sciences  산서농업과학,Shan Xi Nong Ye Ke Xue
中国饲料,China Feed  중국사료,Zhong Guo Si Liao
节水灌溉,Water Saving Irrigation  절수관,Jie Shui Guan Gai
浙江农业学报,Acta Agriculturae Zhejiangensis  절강농업학보,Zhe Jiang Nong Ye Xue Bao
中国稻米,China Rice  중국도미,Zhong Guo Dao Mi
