中华护理杂志,Chinese Journal of Nursing  중화호리잡지,Zhong Hua Hu Li Za Zhi
中国护理管理,Chinese Nursing Management  중국호리관리,Zhong Guo Hu Li Guan Li
中国急救医学,Chinese Journal of Critical Care Medicine  중국급구의학,Zhong Guo Ji Jiu Yi Xue
实用心脑肺血管病杂志,Practical Journal of Cardiac Cerebral Pneumal and Vascular Disease  실용심뇌폐혈관병잡지,Shi Yong Xin Nao Fei Xue Guan Bing Za Zhi
中国循环杂志,Chinese Circulation Journal  중국순환잡지,Zhong Guo Xun Huan Za Zhi
中国微创外科杂志,Chinese Journal of Minimally Invasive Surgery  중국미창외과잡지,Zhong Guo Wei Chuang Wai Ke Za Zhi
实用临床医药杂志,Journal of Clinical Medicine in Practice  실용림상의약잡지,Shi Yong Lin Chuang Yi Yao Za Zhi
湖南中医药大学学报,Journal of Traditional Chinese Medicine University of Hunan  호남중의약대학학보,Hu Nan Zhong Yi Yao Da Xue Xue Bao
中华妇产科杂志,Chinese Journal of Obstetrics and Gynecology  중화부과잡지,Zhong Hua Fu Chan Ke Za Zhi
护理管理杂志,Journal of Nursing Administration  호리관리잡지,Hu Li Guan Li Za Zhi
中国肿瘤,China Cancer  중국종류,Zhong Guo Zhong Liu
中国内镜杂志,China Journal of Endoscopy  중국내경잡지,Zhong Guo Nei Jing Za Zhi
中华消化外科杂志,Chinese Journal of Digestive Surgery  중화소화외과잡지,Xiao Hua Wai Ke
中国妇幼健康研究,Chinese Journal of Woman and Child Health Research  중국부유건강구,Zhong Guo Fu You Jian Kang Yan Jiu
中国肺癌杂志,Chinese Journal of Lung Cancer  중국폐암잡지,Zhong Guo Fei Ai Za Zhi
中国感染与化疗杂志,Chinese Journal of Infection and Chemotherapy  중국감염여화료잡지,Zhong Guo Gan Ran Yu Hua Liao Za Zhi
现代消化及介入诊疗,Modern Digestion & Intervention  현대소화급개입진료,Xian Dai Xiao Hua Ji Jie Ru Zhen Liao
中国全科医学,Chinese General Practice  중국전과의학,Zhong Guo Quan Ke Yi Xue
中华全科医学,Chinese Journal of General Practice  중화전과의학,Zhong Hua Quan Ke Yi Xue
中国医院管理,Chinese Hospital Management  중국의원관리,Zhong Guo Yi Yuan Guan Li
护士进修杂志,Journal of Nurses Training  호사진수잡지,Hu Shi Jin Xiu Za Zhi
护理学杂志,Journal of Nursing Science  호리학잡지,Hu Li Xue Za Zhi
河北医学,Hebei Medicine  하북의학,He Bei Yi Xue
肠外与肠内营养,Parenteral & Enteral Nutrition  장외여장내영양,Chang Wai Yu Chang Nei Ying Yang
中国临床药理学杂志,The Chinese Journal of Clinical Pharmacology  중국림상약리학잡지,Zhong Guo Lin Chuang Yao Li Xue Za Zhi
中华医院感染学杂志,Chinese Journal of Nosocomiology  중화의원감염학잡지,Zhong Hua Yi Yuan Gan Ran Xue Za Zhi
现代药物与临床,Drugs & Clinic  현대약물여림상,Guo Wai Yi Yao （ Zhi Wu Yao Fen Ce ）
世界中医药,World Chinese Medicine  세계중의약,Shi Jie Zhong Yi Yao
中华结核和呼吸杂志,Chinese Journal of Tuberculosis and Respiratory Diseases  중화결핵화호흡잡지,Zhong Hua Jie He He Hu Xi Za Zhi
中华危重病急救医学,Chinese Critical Care Medicine  중국위중병급구의학,Zhong Guo Wei Zhong Bing Ji Jiu Yi Xue
现代中西医结合杂志,Modern Journal of Integrated Traditional Chinese and Western Medicine  현대중서의결합잡지,Xian Dai Zhong Xi Yi Jie He Za Zhi
海南医学院学报,Journal of Hainan Medical University  해남의학원학보,Hai Nan Yi Xue Yuan Xue Bao
针刺研究,Acupuncture Research  침자구,Zhen Ci Yan Jiu
中国CT和MRI杂志,Chinese Journal of CT and MRI  중국CT화MRI잡지,Zhong Guo C T He M R I Za Zhi
中华外科杂志,Chinese Journal of Surgery  중화외과잡지,Zhong Hua Wai Ke Za Zhi
中国实用护理杂志,Chinese Journal of Practical Nursing  중국실용호리잡지,Zhong Guo Shi Yong Hu Li Za Zhi
中国感染控制杂志,Chinese Journal of Infection Control  중국감염공제잡지,Zhong Guo Gan Ran Kong Zhi Za Zhi
护理学报,Journal of Nursing  호리학보,Hu Li Xue Bao
临床麻醉学杂志,Journal of Clinical Anesthesiology  림상마취학잡지,Lin Chuang Ma Zui Xue Za Zhi
中国康复医学杂志,Chinese Journal of Rehabilitation Medicine  중국강복의학잡지,Zhong Guo Kang Fu Yi Xue Za Zhi
上海护理,Shanghai Nursing  상해호리,Shang Hai Hu Li
中国实用妇科与产科杂志,Chinese Journal of Practical Gynecology and Obstetrics  중국실용부과여과잡지,Zhong Guo Shi Yong Fu Ke Yu Chan Ke Za Zhi
中华骨科杂志,Chinese Journal of Orthopaedics  중화골과잡지,Zhong Hua Gu Ke Za Zhi
中国普通外科杂志,Chinese Journal of General Surgery  중국보통외과잡지,Zhong Guo Pu Tong Wai Ke Za Zhi
中华心血管病杂志,Chinese Journal of Cardiology  중화심혈관병잡지,Zhong Hua Xin Xue Guan Bing Za Zhi
检验医学与临床,Laboratory Medicine and Clinic  검험의학여림상,Jian Yan Yi Xue Yu Lin Chuang
中国计划生育学杂志,Chinese Journal of Family Planning  중국계획생육학잡지,Zhong Guo Ji Hua Sheng Yu Xue Za Zhi
解放军医药杂志,Medical & Pharmaceutical Journal of Chinese People's Liberation Army  해방군의약잡지,Hua Bei Guo Fang Yi Yao
中华流行病学杂志,Chinese Journal of Epidemiology  중화류행병학잡지,Zhong Hua Liu Xing Bing Xue Za Zhi
中国卫生政策研究,Chinese Journal of Health Policy  중국위생정책구,Zhong Guo Wei Sheng Zheng Ce Yan Jiu
中国健康教育,Chinese Journal of Health Education  중국건강육,Zhong Guo Jian Kang Jiao Yu
中国糖尿病杂志,Chinese Journal of Diabetes  중국당뇨병잡지,Zhong Guo Tang Niao Bing Za Zhi
中国妇幼保健,Maternal & Child Health Care of China  중국부유보건,Zhong Guo Fu You Bao Jian
中国药房,China Pharmacy  중국약방,Zhong Guo Yao Fang
中国肿瘤临床,Chinese Journal of Clinical Oncology  중국종류림상,Zhong Guo Zhong Liu Lin Chuang
解放军护理杂志,Nursing Journal of Chinese People's Liberation Army  해방군호리잡지,Jie Fang Jun Hu Li Za Zhi
护理研究,Chinese Nursing Research  호리구,Hu Li Yan Jiu
中华肿瘤防治杂志,Chinese Journal of Cancer Prevention and Treatment  중화종류방치잡지,Zhong Hua Zhong Liu Fang Zhi Za Zhi
