中国社会科学,Social Sciences in China,Zhong Guo She Hui Ke Xue
人口研究,Population Research  인구구,Ren Kou Yan Jiu
社会学研究,Sociological Studies,She Hui Xue Yan Jiu
中国人口·资源与环境,China Population Resources and Environment  중국인구·자원여환경,Zhong Guo Ren Kou · Zi Yuan Yu Huan Jing
南京农业大学学报（社会科学版）,Journal of Nanjing Agricultural University (Social Sciences Edition)  남경농업대학학보（사회과학판）,Nan Jing Nong Ye Da Xue Xue Bao （ She Hui Ke Xue Ban ）
社会,Society  사회,She Hui
人口学刊,Population Journal  인구학간,Ren Kou Xue Kan
中国人口科学,Chinese Journal of Population Science  중국인구과학,Zhong Guo Ren Kou Ke Xue
中国农业大学学报（社会科学版）,Journal of China Agricultural University (Social Sciences Edition)  중국농업대학학보（사회과학판）,Zhong Guo Nong Ye Da Xue Xue Bao （ She Hui Ke Xue Ban ）
人口与经济,Population & Economics,Ren Kou Yu Jing Ji
体育学研究,Journal of Nanjing Institute of Physical Education (Social Sciences)  남경체육학원학보（사회과학판）,Nan Jing Ti Yu Xue Yuan Xue Bao （ She Hui Ke Xue Ban ）
新疆师范大学学报（哲学社会科学版）,Journal of Xinjiang Normal University (Edition of Philosophy and Social Sciences)  신강사범대학학보（철학사회과학판）,Xin Jiang Shi Fan Da Xue Xue Bao （ Zhe Xue She Hui Ke Xue Ban ）
西北农林科技大学学报（社会科学版）,Journal of Northwest A&F University (Social Science Edition)  서북농림과기대학학보（사회과학판）,Xi Bei Nong Lin Ke Ji Da Xue Xue Bao （ She Hui Ke Xue Ban ）
中国性科学,Chinese Journal of Human Sexuality  중국성과학,Zhong Guo Xing Ke Xue
武汉大学学报（哲学社会科学版）,Wuhan University Journal (Philosophy & Social Sciences)  무한대학학보（철학사회과학판）,Wu Han Da Xue Xue Bao （ Zhe Xue She Hui Ke Xue Ban ）
统计研究,Statistical Research  통계구,Tong Ji Yan Jiu
华中农业大学学报（社会科学版）,Journal of Huazhong Agricultural University (Social Sciences Edition)  화중농업대학학보（사회과학판）,Hua Zhong Nong Ye Da Xue Xue Bao （ She Hui Ke Xue Ban ）
人文地理,Human Geography  인문지리,Ren Wen Di Li
吉首大学学报（社会科学版）,Journal of Jishou University (Social Sciences Edition)  길수대학학보（사회과학판）,Ji Shou Da Xue Xue Bao （ She Hui Ke Xue Ban ）
华南农业大学学报（社会科学版）,Journal of South China Agricultural University (Social Science Edition)  화남농업대학학보（사회과학판）,Hua Nan Nong Ye Da Xue Xue Bao （ She Hui Ke Xue Ban ）
东北亚论坛,Northeast Asia Forum  동북아론단,Dong Bei Ya Lun Tan
清华大学学报（哲学社会科学版）,Journal of Tsinghua University(Philosophy and Socia Sciences),Qing Hua Da Xue Xue Bao （ Zhe Xue She Hui Ke Xue Ban ）
探索,Probe  탐색,Tan Suo
城市发展研究,Urban Development Studies  성시발전구,Cheng Shi Fa Zhan Yan Jiu
南亚研究,South Asian Studies  남아구,Nan Ya Yan Jiu
中南林业科技大学学报（社会科学版）,Journal of Central South University of Forestry & Technology (Social Sciences)  중남림업과기대학학보（사회과학판）,Zhong Nan Lin Ye Ke Ji Da Xue Xue Bao （ She Hui Ke Xue Ban ）
小康（中旬刊）,Insight China,Xk-zxk
北京师范大学学报（社会科学版）,Journal of Beijing Normal University (Social Science)  북경사범대학학보（사회과학판）,Bei Jing Shi Fan Da Xue Xue Bao （ She Hui Ke Xue Ban ）
南京社会科学,Social Sciences in Nanjing  남경사회과학,Nan Jing She Hui Ke Xue
南开学报（哲学社会科学版）,Nankai Journal (Philosophy Literature and Social Science Edition)　  남개학보（철학사회과학판）,Nan Kai Xue Bao （ Zhe Xue She Hui Ke Xue Ban ）
当代亚太,Journal of Contemporary Asia-Pacific Studies  당대아태,Dang Dai Ya Tai
西亚非洲,West Asia and Africa  서아비주,Xi Ya Fei Zhou
开放时代,Open Times  개방시대,Kai Fang Shi Dai
浙江社会科学,Zhejiang Social Sciences  절강사회과학,Zhe Jiang She Hui Ke Xue
南洋问题研究,Southeast Asian Affairs  남양문제구,Nan Yang Wen Ti Yan Jiu
农林经济管理学报,Journal of Agro-Forestry Economics and Management  강서농업대학학보（사회과학판）,Jiang Xi Nong Ye Da Xue Xue Bao （ She Hui Ke Xue Ban ）
中国地质大学学报（社会科学版）,Journal of China University of Geosciences (Social Sciences Edition)  중국지질대학학보（사회과학판）,Zhong Guo Di Zhi Da Xue Xue Bao （ She Hui Ke Xue Ban ）
北京工业大学学报（社会科学版）,Journal of Beijing University of Technology (Social Sciences Edition)  북경공업대학학보（사회과학판）,Bei Jing Gong Ye Da Xue Xue Bao （ She Hui Ke Xue Ban ）
北京联合大学学报（人文社会科学版）,Journal of Beijing Union University (Humanities and Social Sciences)  북경련합대학학보（인문사회과학판）,Bei Jing Lian He Da Xue Xue Bao （ Ren Wen She Hui Ke Xue Ban ）
人口与发展,Population and Development  인구여발전,Ren Kou Yu Fa Zhan
社会保障研究,Social Security Studies  사회보장구,She Hui Bao Zhang Yan Jiu
四川理工学院学报（社会科学版）,Journal of Sichuan University of Science & Engineering (Social Sciences Edition)  사천리공학원학보（사회과학판）,Si Chuan Li Gong Xue Yuan Xue Bao （ She Hui Ke Xue Ban ）
近代史研究,Modern Chinese History Studies  근대사구,Jin Dai Shi Yan Jiu
北京大学学报（哲学社会科学版）,Journal of Peking University(Philosophy and Social Sciences),Bei Jing Da Xue Xue Bao （ Zhe Xue She Hui Ke Xue Ban ）
青少年犯罪问题,Issues on Juvenile Crimes and Delinquency  소년범죄문제,Qing Shao Nian Fan Zui Wen Ti
