中国法学,China Legal Science  중국법학,Zhong Guo Fa Xue
法学研究,Chinese Journal of Law,Fa Xue Yan Jiu
环球法律评论,Global Law Review  환구법률평론,Huan Qiu Fa Lu Ping Lun
法学家,The Jurist  법학가,Fa Xue Jia
清华法学,Tsinghua Law Review  화법학,Qing Hua Fa Xue
当代法学,Contemporary Law Review,Dang Dai Fa Xue
法学,Legal Science Monthly,Fa Xue
行政法学研究,Administrative Law Review  행정법학구,Xing Zheng Fa Xue Yan Jiu
法律科学－西北政法大学学报,Science of Law - Northwest University of Political ＆ Law  법률과학서북정법학원학보,Fa Lu Ke Xue － Xi Bei Zheng Fa Xue Yuan Xue Bao
中外法学,Peking University Law Journal,Zhong Wai Fa Xue
法学评论,Law Review,Fa Xue Ping Lun
政治与法律,Political Science and Law  정치여법률,Zheng Zhi Yu Fa Lu
政法论坛,Tribune of Political Science and Law,Zheng Fa Lun Tan - Zhong Guo Zheng Fa Da Xue Xue Bao
法商研究,Studies In Law and Business,Fa Shang Yan Jiu
政治学研究,Cass Journal of Political Science,Zheng Zhi Xue Yan Jiu
国家行政学院学报,Journal of Chinese Academy Of Governance  국가행정학원학보,Guo Jia Xing Zheng Xue Yuan Xue Bao
国家检察官学院学报,Journal of National Prosecutors College  국가검찰관학원학보,Guo Jia Jian Cha Guan Xue Yuan Xue Bao
外交评论,Foreign Affairs Review  외교평론,Wai Jiao Ping Lun
法制与社会发展,Law and Social Development,Fa Zhi Yu She Hui Fa Zhan
比较法研究,Journal of Comparative Law  비교법구,Bi Jiao Fa Yan Jiu
国际问题研究,International Studies  국제문제구,Guo Ji Wen Ti Yan Jiu
东方法学,Oriental Law  동방법학,Dong Fang Fa Xue
现代法学,Modern Law Science  현대법학,Xian Dai Fa Xue
电子政务,E-Government  전자정무,Dian Zi Zheng Wu
中国特色社会主义研究,Studies on Socialism with Chinese Characteristics  중국특색사회주의구,Zhong Guo Te Se She Hui Zhu Yi Yan Jiu
思想教育研究,Studies In Ideological Education  사상육구,Si Xiang Jiao Yu Yan Jiu
华东政法大学学报,Journal of the East China University of Politics & Law,Hua Dong Zheng Fa Xue Yuan Xue Bao
国家教育行政学院学报,Journal of National Academy of Education Administration  국가육행정학원학보,Guo Jia Jiao Yu Xing Zheng Xue Yuan Xue Bao
中国刑事法杂志,Chinese Criminal Science  중국형사법잡지,Zhong Guo Xing Shi Fa Za Zhi
中国行政管理,Chinese Public Administration,Zhong Guo Xing Zheng Guan Li
法学杂志,Law Science Magazine  법학잡지,Fa Xue Za Zhi
公共行政评论,Journal of Public Administration  공공행정평론,Gong Gong Xing Zheng Ping Lun
法学论坛,Legal Forum  법학론단,Fa Xue Lun Tan
中共中央党校学报,Journal of the Party School of the Central Committee of The C.P.C.,Zhong Gong Zhong Yang Dang Xiao Xue Bao
心理学报,Acta Psychologica Sinica  심리학보,Xin Li Xue Bao
知识产权,Intellectual Property  지식권,Zhi Shi Chan Quan
国际展望,Global Review,Guo Ji Zhan Wang
中国青年社会科学,Journal of China Youth University for Political Sciences  중국년정치학원학보,Zhong Guo Qing Nian Zheng Zhi Xue Yuan Xue Bao
政法论丛,Journal of Political Science and Law  정법론총,Zheng Fa Lun Cong
心理发展与教育,Psychological Development and Education  심리발전여육,Xin Li Fa Zhan Yu Jiao Yu
法律适用,Journal of Law Application,Fa Lu Shi Yong
求实,Truth Seeking  구실,Qiu Shi
法治研究,Research on Rule of Law  법치구,Fa Zhi Yan Jiu
探索,Probe  탐색,Tan Suo
中国青年研究,China Youth Study  중국년구,Zhong Guo Qing Nian Yan Jiu
行政论坛,Administrative Tribune  행정론단,Xing Zheng Lun Tan
政治经济学评论,China Review of Political Economy,Zheng Zhi Jing Ji Xue Ping Lun
上海行政学院学报,The Journal of Shanghai Administration Institute  상해행정학원학보,Shang Hai Xing Zheng Xue Yuan Xue Bao
南亚研究,South Asian Studies  남아구,Nan Ya Yan Jiu
治理研究,Governance Studies  중공절강성위당교학보,Zhong Gong Zhe Jiang Sheng Wei Dang Xiao Xue Bao
马克思主义研究,Studies on Marxism,Ma Ke Si Zhu Yi Yan Jiu
理论探索,Theoretical Exploration  리론탐색,Li Lun Tan Suo
当代亚太,Journal of Contemporary Asia-Pacific Studies  당대아태,Dang Dai Ya Tai
西亚非洲,West Asia and Africa  서아비주,Xi Ya Fei Zhou
社会主义研究,Socialism Studies  사회주의구,She Hui Zhu Yi Yan Jiu
南洋问题研究,Southeast Asian Affairs  남양문제구,Nan Yang Wen Ti Yan Jiu
心理科学进展,Advances in Psychological Science  심리과학진전,Xin Li Ke Xue Jin Zhan
行政管理改革,Administration Reform  행정관리개혁,Xing Zheng Guan Li Gai Ge
国际政治科学,Guo Ji Zheng Zhi Ke Xue
学校党建与思想教育,Xuexiao Dangjian Yu Sixiang Jiaoyu  학교당건여사상육（고판）,Xue Xiao Dang Jian Yu Si Xiang Jiao Yu （ Gao Jiao Ban ）
青少年犯罪问题,Issues on Juvenile Crimes and Delinquency  소년범죄문제,Qing Shao Nian Fan Zui Wen Ti
国际政治研究,International Politics Quarterly,Guo Ji Zheng Zhi Yan Jiu
地方治理研究,Journal of Jiangxi Administration Institute  강서행정학원학보,Jiang Xi Xing Zheng Xue Yuan Xue Bao
求是,QIUSHI,Qiu Shi
河北法学,Hebei Law Science  하북법학,He Bei Fa Xue
现代国际关系,Contemporary Internal Relations  현대국제관계,Xian Dai Guo Ji Guan Xi
理论探讨,Theoretical Investigation  리론탐토,Li Lun Tan Tao
理论与改革,Theory and Reform,Li Lun Yu Gai Ge
国际安全研究,Journal of International Security Studies  국제관계학원학보,Guo Ji Guan Xi Xue Yuan Xue Bao
